move_id,total_distance,total_duration,rank_by_distance,rank_by_duration
40,384.66532575889397,0 days 00:03:01,245,305
482,384.42024803350205,0 days 00:04:31,246,77
424,381.47354398501966,0 days 00:03:46,247,107
260,380.6994328886922,0 days 00:04:34,248,74
69,379.1336432297617,0 days 00:06:44,249,39
523,378.72863417192343,0 days 00:04:44,250,69
128,374.5575147338947,0 days 00:02:52,251,341
313,362.1412570738148,0 days 00:03:06,252,263
73,360.422483477838,0 days 00:06:29,253,43
245,360.2077505748101,0 days 00:02:40,254,377
520,357.54874602075245,0 days 00:04:35,255,73
61,356.26128463811995,0 days 00:02:26,256,404
548,344.36731944245196,0 days 00:02:56,257,327
70,343.51182937503376,0 days 00:03:43,258,112
467,341.731840822082,0 days 00:03:36,259,120
66,341.2660774101481,0 days 00:04:16,260,86
519,341.15806611597765,0 days 00:04:41,261,70
363,338.3983096900646,0 days 00:03:03,262,293
53,335.59979274528985,0 days 00:02:15,263,511
310,335.42588737339264,0 days 00:03:04,264,281
530,334.05087959351465,0 days 00:03:13,265,176
35,331.10663127270374,0 days 00:02:31,266,389
34,330.93334029851803,0 days 00:02:12,267,527
589,325.9159863402267,0 days 00:20:38,268,9
364,324.4444460601942,0 days 00:03:11,269,200
42,323.23522495555045,0 days 00:02:35,270,383
358,321.41975336529947,0 days 00:03:34,271,126
319,319.91494038828665,0 days 00:03:12,272,192
460,319.75703735794104,0 days 00:03:12,273,192
39,319.1695467066555,0 days 00:02:12,274,527
450,312.4621841823818,0 days 00:03:38,275,117
21,312.37758752880035,0 days 00:02:43,276,368
46,312.1903284629043,0 days 00:02:29,277,395
522,311.40737985209745,0 days 00:04:02,278,95
31,310.9546494076694,0 days 00:02:13,279,525
536,310.1785459209225,0 days 00:03:03,280,293
526,305.0496334627074,0 days 00:04:07,281,92
560,302.14773425137145,0 days 00:02:53,282,339
301,301.4354840555363,0 days 00:03:13,283,176
179,300.08107785000936,0 days 00:02:25,284,405
157,299.9346819423706,0 days 00:02:18,285,470
567,298.2248058714689,0 days 00:02:48,286,353
251,296.12385530931755,0 days 00:03:52,287,97
125,293.63316865286987,0 days 00:02:19,288,449
4,291.65739306915486,0 days 00:02:20,289,430
436,291.36631530394766,0 days 00:03:05,290,274
321,291.2082186751149,0 days 00:03:04,291,281
216,286.720585645471,0 days 00:02:19,292,449
20,284.17624306988864,0 days 00:03:22,293,137
266,281.0982369945934,0 days 00:04:30,294,78
